Module	API / Project Item	Status	Auth	Local URL	Deployed URL	Method	Payload / Query	Notes
Auth	Reset Password	Implemented	Public	http://localhost:4500/api/reset-password	https://mobulous-tech.vercel.app/api/reset-password	POST	{"email":"john@example.com","otp":"123456","newPassword":"NewSecurePass456"}	OTP must match and be unexpired; newPassword min 8 chars.
Market Data	Get Market Indices	Implemented	Public	http://localhost:4500/api/indices?forceRefresh=true	https://mobulous-tech.vercel.app/api/indices?forceRefresh=true	GET	Optional query: forceRefresh=true|1	Returns configured market indices with source, count and cached/fresh data.
Stocks	Search Indian Stock Symbols	Implemented	Public	http://localhost:4500/api/stocks?query=reliance&region=IN&limit=10	https://mobulous-tech.vercel.app/api/stocks?query=reliance&region=IN&limit=10	GET	query or search required; region must be IN; limit 1-25; optional lang and forceRefresh=true|1	Returns only NSE (.NS) and BSE (.BO) equities. Excludes funds, indices, ETFs, crypto, ADRs and overseas shares.
Market Data	Get Top 99 Indian Stocks by Period	Implemented	Public	http://localhost:4500/api/indian-market/top-99-stocks/daily?forceRefresh=true	https://mobulous-tech.vercel.app/api/indian-market/top-99-stocks/daily?forceRefresh=true	GET	Path: period = daily|weekly|monthly; optional forceRefresh=true|1	Returns NSE data for configured 99-symbol list for requested period.
News	Get India Market News	Implemented	Public	http://localhost:4500/api/market-news?count=20&forceRefresh=true	https://mobulous-tech.vercel.app/api/market-news?count=20&forceRefresh=true	GET	Optional query: count; forceRefresh=true|1	Returns India trading-news feed; country, sources and locale are server-controlled.
News	Get Global Market News	Implemented	Public	http://localhost:4500/api/market-news/global?count=20&forceRefresh=true	https://mobulous-tech.vercel.app/api/market-news/global?count=20&forceRefresh=true	GET	Optional query: count; forceRefresh=true|1	Returns global trading-news feed.
Mutual Funds	Search Mutual Fund Schemes	Implemented	Bearer access token	http://localhost:4500/api/mutual-funds?query=parag%20parikh&limit=10	https://mobulous-tech.vercel.app/api/mutual-funds?query=parag%20parikh&limit=10	GET	query or search; optional limit and forceRefresh=true|1	Searches mutual-fund scheme catalogue.
Mutual Funds	Get Mutual Fund Snapshots	Implemented	Bearer access token	http://localhost:4500/api/mutual-fund-data?schemeCodes=122639,120465	https://mobulous-tech.vercel.app/api/mutual-fund-data?schemeCodes=122639,120465	GET	Optional schemeCodes (comma-separated); optional forceRefresh=true|1	Returns data for supplied schemes or default scheme list when omitted.
Mutual Funds	Get Mutual Fund Snapshot by Scheme Code	Implemented	Bearer access token	http://localhost:4500/api/mutual-fund-data/122639	https://mobulous-tech.vercel.app/api/mutual-fund-data/122639	GET	Path: schemeCode; optional forceRefresh=true|1	Returns latest data for one scheme; 404 if no data exists.
Mutual Funds	Get Mutual Fund History by Scheme Code	Implemented	Bearer access token	http://localhost:4500/api/mutual-fund-data/122639/history?limit=30	https://mobulous-tech.vercel.app/api/mutual-fund-data/122639/history?limit=30	GET	Path: schemeCode; optional limit and forceRefresh=true|1	Returns NAV history for one scheme; 404 if no history exists.
Stocks	Add Stock Transaction	Implemented	Bearer access token	http://localhost:4500/api/stocks	https://mobulous-tech.vercel.app/api/stocks	POST	{"symbol":"RELIANCE.NS","name":"Reliance Industries","quantity":10,"price":2500.5,"transactionType":"buy"}	symbol must be an Indian NSE (.NS) or BSE (.BO) equity; API derives matching exchange and INR currency. Name, quantity and price/purchasePrice are required.
Stocks	List Stock Transactions	Implemented	Bearer access token	http://localhost:4500/api/stocks?symbol=RELIANCE.NS&page=1&limit=20	https://mobulous-tech.vercel.app/api/stocks?symbol=RELIANCE.NS&page=1&limit=20	GET	transactionType, symbol, sector, exchange, watchlist, tags, page, limit, sortBy, sortOrder	Returns authenticated user's stock transactions with filtering, pagination and portfolio summary.
Stocks	Get Stock Portfolio Summary	Implemented	Bearer access token	http://localhost:4500/api/stocks/summary	https://mobulous-tech.vercel.app/api/stocks/summary	GET	Not required	Returns aggregate portfolio stats and sector breakdown.
Stocks	Get Consolidated Stock Holdings	Implemented	Bearer access token	http://localhost:4500/api/stocks/holdings	https://mobulous-tech.vercel.app/api/stocks/holdings	GET	Not required	Returns open positions after buy/sell transactions are consolidated.
Stocks	Get Stock Net Worth	Implemented	Bearer access token	http://localhost:4500/api/stocks/net-worth?period=1year	https://mobulous-tech.vercel.app/api/stocks/net-worth?period=1year	GET	Optional period: weekly, 3months, 6months, 1year, 3years or all	Returns authenticated user's stock net worth. Aliases include 1w, 3m, 6m and 1y.
Stocks	Get Stock Watchlist	Implemented	Bearer access token	http://localhost:4500/api/stocks/watchlist?page=1&limit=20	https://mobulous-tech.vercel.app/api/stocks/watchlist?page=1&limit=20	GET	Optional page, limit, sortBy, sortOrder	Returns authenticated user's watchlisted stock transactions.
Stocks	Bulk Update Stock Prices	Implemented	Bearer access token	http://localhost:4500/api/stocks/prices	https://mobulous-tech.vercel.app/api/stocks/prices	PATCH	{"updates":[{"id":"64abc123abc123abc123abcd","currentPrice":2600.75}]}	updates array must contain 1-50 valid stock IDs and non-negative current prices.
Stocks	Get Stock Transaction by ID	Implemented	Bearer access token	http://localhost:4500/api/stocks/:id	https://mobulous-tech.vercel.app/api/stocks/:id	GET	Path: id (stock MongoDB ObjectId)	Returns one authenticated user's stock transaction.
Stocks	Replace Stock Transaction	Implemented	Bearer access token	http://localhost:4500/api/stocks/:id	https://mobulous-tech.vercel.app/api/stocks/:id	PUT	{"quantity":12,"currentPrice":2650,"notes":"Updated holding"}	At least one valid stock field is required; supports same fields as create where applicable.
Stocks	Partially Update Stock Transaction	Implemented	Bearer access token	http://localhost:4500/api/stocks/:id	https://mobulous-tech.vercel.app/api/stocks/:id	PATCH	{"quantity":12,"currentPrice":2650,"notes":"Updated holding"}	Same validation and update handler as PUT.
Stocks	Set Stock Watchlist Flag	Implemented	Bearer access token	http://localhost:4500/api/stocks/:id/watchlist	https://mobulous-tech.vercel.app/api/stocks/:id/watchlist	PATCH	{"watchlist":true}	watchlist boolean is required.
Stocks	Set Stock Price Alerts	Implemented	Bearer access token	http://localhost:4500/api/stocks/:id/alerts	https://mobulous-tech.vercel.app/api/stocks/:id/alerts	PATCH	{"enabled":true,"targetPrice":3000,"stopLoss":2300}	Provide at least one of enabled, targetPrice or stopLoss; prices non-negative.
Stocks	Delete Stock Transaction	Implemented	Bearer access token	http://localhost:4500/api/stocks/:id	https://mobulous-tech.vercel.app/api/stocks/:id	DELETE	Path: id (stock MongoDB ObjectId)	Deletes one authenticated user's stock transaction.
Mutual Funds	Add Mutual Fund Holding	Implemented	Bearer access token	http://localhost:4500/api/mutual-fund-holdings	https://mobulous-tech.vercel.app/api/mutual-fund-holdings	POST	{"fundName":"Example Flexi Cap Fund","schemeCode":"122639","quantity":125.5,"price":180.5,"transactionType":"buy"}	fundName, units/quantity and investedAmount required. investedAmount is calculated when quantity and price are supplied.
Mutual Funds	List Mutual Fund Holdings	Implemented	Bearer access token	http://localhost:4500/api/mutual-fund-holdings?search=flexi&page=1&limit=20	https://mobulous-tech.vercel.app/api/mutual-fund-holdings?search=flexi&page=1&limit=20	GET	search, transactionType=buy|sell, page, limit (max 100), sortOrder=asc|desc	Returns authenticated user's mutual-fund holdings with pagination.
Mutual Funds	Get Mutual Fund Holding by ID	Implemented	Bearer access token	http://localhost:4500/api/mutual-fund-holdings/:id	https://mobulous-tech.vercel.app/api/mutual-fund-holdings/:id	GET	Path: id (holding MongoDB ObjectId)	Returns one authenticated user's mutual-fund holding.
Mutual Funds	Partially Update Mutual Fund Holding	Implemented	Bearer access token	http://localhost:4500/api/mutual-fund-holdings/:id	https://mobulous-tech.vercel.app/api/mutual-fund-holdings/:id	PATCH	{"quantity":130,"price":182,"notes":"Updated SIP units"}	At least one valid field required. Supports fund details, units, NAV, amounts, dates, transaction type and tags.
Mutual Funds	Replace Mutual Fund Holding	Implemented	Bearer access token	http://localhost:4500/api/mutual-fund-holdings/:id	https://mobulous-tech.vercel.app/api/mutual-fund-holdings/:id	PUT	{"fundName":"Updated Fund","quantity":130,"price":182}	Uses same update validator and handler as PATCH.
Mutual Funds	Delete Mutual Fund Holding	Implemented	Bearer access token	http://localhost:4500/api/mutual-fund-holdings/:id	https://mobulous-tech.vercel.app/api/mutual-fund-holdings/:id	DELETE	Path: id (holding MongoDB ObjectId)	Deletes one authenticated user's mutual-fund holding.
Expenses	Get Expense Categories	Implemented	Bearer access token	http://localhost:4500/api/expenses/categories	https://mobulous-tech.vercel.app/api/expenses/categories	GET	Not required	Returns supported expense categories.
Expenses	Add Expense	Implemented	Bearer access token	http://localhost:4500/api/expenses	https://mobulous-tech.vercel.app/api/expenses	POST	{"amount":499.99,"category":"food","notes":"Lunch","expenseDate":"2026-09-02"}	amount greater than 0 and valid category required; expenseDate or transactionDate optional.
Expenses	List Expenses	Implemented	Bearer access token	http://localhost:4500/api/expenses?category=food&page=1&limit=20	https://mobulous-tech.vercel.app/api/expenses?category=food&page=1&limit=20	GET	category, search, page, limit (max 100), sortOrder, from/dateFrom, to/dateTo	Returns authenticated user's expenses with filtering and pagination.
Expenses	Get Expense Summary	Implemented	Bearer access token	http://localhost:4500/api/expenses/summary?budget=50000&from=2026-09-01&to=2026-09-30	https://mobulous-tech.vercel.app/api/expenses/summary?budget=50000&from=2026-09-01&to=2026-09-30	GET	budget or totalBudget; from/dateFrom; to/dateTo	Returns total expenses, remaining budget, spent percent, count and category breakdown.
Expenses	Get Expense by ID	Implemented	Bearer access token	http://localhost:4500/api/expenses/:id	https://mobulous-tech.vercel.app/api/expenses/:id	GET	Path: id (expense MongoDB ObjectId)	Returns one authenticated user's expense.
Expenses	Partially Update Expense	Implemented	Bearer access token	http://localhost:4500/api/expenses/:id	https://mobulous-tech.vercel.app/api/expenses/:id	PATCH	{"amount":599,"category":"shopping","notes":"Updated","expenseDate":"2026-09-02"}	At least one valid field required: amount, category, notes, expenseDate/transactionDate.
Expenses	Replace Expense	Implemented	Bearer access token	http://localhost:4500/api/expenses/:id	https://mobulous-tech.vercel.app/api/expenses/:id	PUT	{"amount":599,"category":"shopping"}	Uses same update validator and handler as PATCH.
Expenses	Delete Expense	Implemented	Bearer access token	http://localhost:4500/api/expenses/:id	https://mobulous-tech.vercel.app/api/expenses/:id	DELETE	Path: id (expense MongoDB ObjectId)	Deletes one authenticated user's expense.
Portfolio	Get Portfolio Dashboard	Implemented	Bearer access token	http://localhost:4500/api/portfolio/dashboard	https://mobulous-tech.vercel.app/api/portfolio/dashboard	GET	Not required	Returns authenticated user's dashboard and aggregate asset values.
Portfolio	Get Portfolio History	Implemented	Bearer access token	http://localhost:4500/api/portfolio/history?period=1Y	https://mobulous-tech.vercel.app/api/portfolio/history?period=1Y	GET	period required: 1W, 1M, 6M, 1Y, 3Y, 5Y or YTD	Returns portfolio history points for selected period.
Portfolio	Get Portfolio Category	Implemented	Bearer access token	http://localhost:4500/api/portfolio/categories/stocks	https://mobulous-tech.vercel.app/api/portfolio/categories/stocks	GET	Path: categoryKey (letters, numbers and underscores)	Returns authenticated user's holdings and values for selected category.
Portfolio	List Investment Accounts	Implemented	Bearer access token	http://localhost:4500/api/portfolio/accounts	https://mobulous-tech.vercel.app/api/portfolio/accounts	GET	Not required	Returns investment accounts owned by authenticated user.
Portfolio	Create Investment Account	Implemented	Bearer access token	http://localhost:4500/api/portfolio/accounts	https://mobulous-tech.vercel.app/api/portfolio/accounts	POST	{"provider":"zerodha","accountName":"Primary Account","externalAccountId":"ABC123","status":"active"}	provider and accountName required. provider: zerodha, groww, angel_one, upstox or manual.
Portfolio	Update Investment Account	Implemented	Bearer access token	http://localhost:4500/api/portfolio/accounts/:accountId	https://mobulous-tech.vercel.app/api/portfolio/accounts/:accountId	PATCH	{"accountName":"Updated Account","status":"inactive"}	Path accountId must be MongoDB ObjectId; at least one valid account field required.
Portfolio	Delete Investment Account	Implemented	Bearer access token	http://localhost:4500/api/portfolio/accounts/:accountId	https://mobulous-tech.vercel.app/api/portfolio/accounts/:accountId	DELETE	Path: accountId (MongoDB ObjectId)	Deletes investment account owned by authenticated user.
Portfolio	List Active Instruments	Implemented	Bearer access token	http://localhost:4500/api/portfolio/instruments?categoryKey=stocks	https://mobulous-tech.vercel.app/api/portfolio/instruments?categoryKey=stocks	GET	Optional query: categoryKey	Returns active instruments; optional categoryKey filters catalogue.
Portfolio	Create Portfolio Holding	Implemented	Bearer access token	http://localhost:4500/api/portfolio/holdings	https://mobulous-tech.vercel.app/api/portfolio/holdings	POST	{"categoryKey":"stocks","instrumentId":"64abc123abc123abc123abcd","quantity":10,"averagePurchasePrice":2500,"accountId":null}	categoryKey, instrumentId, quantity and averagePurchasePrice required. Optional source: manual|broker_sync|import.
Portfolio	Update Portfolio Holding	Implemented	Bearer access token	http://localhost:4500/api/portfolio/holdings/:holdingId	https://mobulous-tech.vercel.app/api/portfolio/holdings/:holdingId	PATCH	{"quantity":12,"averagePurchasePrice":2550}	Path holdingId must be MongoDB ObjectId; at least one valid holding field required.
Portfolio	Delete Portfolio Holding	Implemented	Bearer access token	http://localhost:4500/api/portfolio/holdings/:holdingId	https://mobulous-tech.vercel.app/api/portfolio/holdings/:holdingId	DELETE	Path: holdingId (MongoDB ObjectId)	Deletes portfolio holding owned by authenticated user.
Admin	List Users	Implemented	Admin bearer access token	http://localhost:4500/api/admin/users	https://mobulous-tech.vercel.app/api/admin/users	GET	Not required	Returns all users, newest first, excluding password and OTP fields.
Admin	Get User by ID	Implemented	Admin bearer access token	http://localhost:4500/api/admin/users/:_id	https://mobulous-tech.vercel.app/api/admin/users/:_id	GET	Path: _id (MongoDB ObjectId)	Returns one user profile. JWT admin claim must be true.
Admin	Soft-Delete User	Implemented	Admin bearer access token	http://localhost:4500/api/admin/users/:_id	https://mobulous-tech.vercel.app/api/admin/users/:_id	DELETE	Path: _id (MongoDB ObjectId)	Sets isDeleted and deletedAt; does not remove DB record.
Admin	Permanently Delete User	Implemented	Admin bearer access token	http://localhost:4500/api/admin/users/:_id/permanent	https://mobulous-tech.vercel.app/api/admin/users/:_id/permanent	DELETE	Path: _id (MongoDB ObjectId)	Irreversibly removes the user document.
